1780487276.181,start,-0.8176,7.6335,0.5034,-5.0804,0.3003,-0.5157,0.2465
1780487276.191,start,-0.8896,7.4204,0.5051,-5.0731,0.2992,-0.4994,0.2458
1780487276.201,start,-0.9791,7.6156,0.4448,-5.0815,0.3034,-0.4879,0.2455
1780487276.211,start,-1.1234,7.5322,0.3540,-5.0342,0.2850,-0.5013,0.2460
1780487276.221,start,-1.1182,7.6552,0.3444,-5.0481,0.2923,-0.5040,0.2466
1780487276.231,start,-1.0443,7.4170,0.3790,-4.9511,0.2850,-0.5133,0.2459
1780487276.240,start,-0.9644,7.3673,0.4081,-4.9476,0.2899,-0.5283,0.2450
1780487276.251,start,-0.9211,7.4336,0.4448,-4.9596,0.2924,-0.5287,0.2445
1780487276.261,start,-0.8239,7.5451,0.4978,-4.9435,0.2907,-0.5371,0.2449
1780487276.271,start,-0.7891,7.5417,0.5064,-4.9878,0.2774,-0.5413,0.2449
1780487276.281,start,-0.9355,7.6116,0.4431,-5.0741,0.2820,-0.5130,0.2448
1780487276.291,start,-1.0099,7.5784,0.4086,-5.0996,0.2846,-0.4970,0.2451
1780487276.300,start,-1.0879,7.5902,0.3309,-5.1289,0.2672,-0.4924,0.2456
1780487276.311,start,-1.0535,7.7045,0.3379,-5.1239,0.2636,-0.4832,0.2456
1780487276.320,start,-0.9804,7.5816,0.3822,-5.1066,0.2758,-0.4920,0.2439
1780487276.331,start,-0.8775,7.5859,0.4504,-5.1430,0.2917,-0.4937,0.2415
1780487276.341,start,-0.7782,7.5818,0.4968,-5.0965,0.2842,-0.4885,0.2413
1780487276.351,start,-0.6866,7.6350,0.5512,-5.0908,0.2903,-0.5069,0.2413
1780487276.360,start,-0.7086,7.4230,0.5587,-5.0796,0.2982,-0.5045,0.2401
1780487276.370,start,-0.8383,7.6520,0.4923,-5.1622,0.2997,-0.4838,0.2402
1780487276.381,start,-0.9315,7.4948,0.4266,-5.1332,0.2777,-0.4834,0.2413
1780487276.391,start,-0.9744,7.5988,0.3769,-5.1318,0.2753,-0.4828,0.2426
1780487276.401,start,-1.0098,7.5625,0.3730,-5.1350,0.2694,-0.4731,0.2428
1780487276.411,start,-0.9248,7.4520,0.4063,-5.0948,0.2789,-0.4784,0.2424
1780487276.421,start,-0.8930,7.5477,0.4447,-5.1200,0.2755,-0.4848,0.2421
1780487276.431,start,-0.7982,7.5575,0.4777,-5.0840,0.2802,-0.4872,0.2428
1780487276.441,start,-0.7301,7.6390,0.5258,-5.1146,0.2723,-0.5054,0.2418
1780487276.451,start,-0.6932,7.4809,0.5438,-5.1174,0.2935,-0.4946,0.2410
1780487276.461,start,-0.8011,7.5645,0.5028,-5.1156,0.2838,-0.4856,0.2417
1780487276.470,start,-0.9391,7.3767,0.3952,-4.9855,0.2663,-0.5041,0.2435
1780487276.481,start,-1.0170,7.4457,0.3495,-5.0070,0.2505,-0.5062,0.2439
1780487276.491,start,-1.0883,7.3000,0.3074,-4.9818,0.2591,-0.4828,0.2442
1780487276.501,start,-1.0085,7.3166,0.3496,-4.9681,0.2497,-0.4789,0.2440
1780487276.510,start,-0.9531,7.3506,0.3688,-4.9610,0.2525,-0.4772,0.2449
1780487276.520,start,-0.7565,7.4998,0.4829,-4.9946,0.2647,-0.4733,0.2451
1780487276.530,start,-0.6951,7.3954,0.5212,-5.0091,0.2843,-0.4755,0.2447
1780487276.540,start,-0.6677,7.3902,0.5612,-5.0540,0.2947,-0.4672,0.2447
1780487276.550,start,-0.7732,7.2968,0.4929,-5.0047,0.2893,-0.4621,0.2464
1780487276.561,start,-0.9382,7.4742,0.3877,-5.0983,0.2741,-0.4726,0.2469
1780487276.570,start,-1.0354,7.5057,0.3320,-5.1343,0.2680,-0.4662,0.2465
1780487276.580,start,-1.0325,7.5304,0.3338,-5.1099,0.2715,-0.4642,0.2467
1780487276.590,start,-0.9775,7.5256,0.3531,-5.1578,0.2621,-0.4788,0.2471
1780487276.600,start,-0.9164,7.4157,0.3720,-5.1126,0.2519,-0.4711,0.2476
1780487276.610,start,-0.7726,7.5319,0.4550,-5.0978,0.2522,-0.4722,0.2478
1780487276.620,start,-0.6732,7.2895,0.5097,-5.0734,0.2751,-0.4802,0.2479
1780487276.630,start,-0.7226,7.5061,0.5086,-5.1369,0.2739,-0.4695,0.2485
1780487276.640,start,-0.8129,7.4666,0.4321,-5.1254,0.2627,-0.4615,0.2503
1780487276.650,start,-0.9892,7.5536,0.3311,-5.1830,0.2551,-0.4653,0.2504
1780487276.660,start,-1.0220,7.4860,0.3147,-5.1644,0.2695,-0.4531,0.2501
1780487276.670,start,-0.9697,7.4270,0.3272,-5.0939,0.2570,-0.4587,0.2507
1780487276.680,start,-0.8501,7.3705,0.3698,-5.0767,0.2519,-0.4726,0.2505
1780487276.690,start,-0.7831,7.4623,0.4146,-5.0971,0.2500,-0.4684,0.2496
1780487276.700,start,-0.6504,7.4281,0.4926,-5.0626,0.2641,-0.4762,0.2488
1780487276.710,start,-0.5949,7.4194,0.5291,-5.1041,0.2605,-0.4861,0.2483
1780487276.720,start,-0.7029,7.5190,0.4750,-5.1346,0.2621,-0.4711,0.2498
1780487276.730,start,-0.7922,7.4172,0.4169,-5.0606,0.2472,-0.4804,0.2502
1780487276.740,start,-0.9186,7.3894,0.3221,-5.0618,0.2551,-0.4931,0.2498
