A_1_center,A_1_front,A_1_left,A_1_right,A_1_back,A_2_center,A_2_front,A_2_left,A_2_right,A_2_back,A_3_center,A_3_front,A_3_left,A_3_right,A_3_back,A_4_center,A_4_front,A_4_left,A_4_right,A_4_back,A_5_center,A_5_front,A_5_left,A_5_right,A_5_back,A_6_center,A_6_front,A_6_left,A_6_right,A_6_back,A_7_center,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file,Objektname,Objektkategorie,OAufnahme,Schwierigkeit,Gewicht
0.6425,0.8294,0.6291,-0.1109,0.0531,8.0832,9.1626,7.5655,6.7598,7.6575,0.4631,0.4525,-0.6126,0.4875,1.4556,-6.2371,-7.9086,-5.8439,-4.4109,-5.8556,0.3742,0.0129,-1.7539,0.3483,2.4494,-0.1746,2.5781,-1.0573,-2.423,-0.9658,0.2921,0.2161,0.3063,0.2932,0.214,91.0,53.33,30.0,3eck_L_U_4.csv,3eck,2,2,1,443.8
0.6203,0.8589,0.4956,-0.0557,0.0323,8.2514,9.427,7.8971,6.6882,7.6548,0.53,0.1947,-0.5451,0.5683,1.4332,-6.4038,-8.2206,-6.0128,-4.4167,-5.8564,0.6521,0.2608,-1.5353,0.3631,2.6137,-0.1402,2.7947,-0.8745,-2.4233,-0.8952,0.2822,0.3254,0.3653,0.1761,0.1595,91.0,53.33,30.0,3eck_L_U_5.csv,3eck,2,2,1,443.8
0.7023,0.8914,0.6333,0.6963,0.0546,8.2588,9.3793,7.7804,7.0092,7.7136,1.2075,0.661,-0.4634,0.6123,1.4309,-6.3866,-8.1241,-6.1132,-4.6127,-5.8818,0.4847,0.1255,-1.6946,0.1644,2.5591,-0.0429,2.7564,-0.8661,-2.308,-0.8986,0.271,0.2599,0.3656,0.2376,0.1492,91.0,53.33,30.0,3eck_L_U_6.csv,3eck,2,2,1,443.8
0.7123,0.5272,0.6288,-0.163,0.1469,8.2333,9.4342,7.6301,6.9295,7.9606,0.806,0.3825,-0.5534,0.4352,1.4709,-6.3608,-8.1538,-6.0333,-4.513,-6.0836,0.3965,0.2543,-1.8514,0.3005,2.4797,-0.039,2.7584,-0.9357,-2.4121,-0.7675,0.2767,0.1524,0.3742,0.3012,0.1373,91.0,53.33,30.0,3eck_L_U_7.csv,3eck,2,2,1,443.8
0.7113,-0.0405,0.4682,0.7355,-0.1722,8.0959,9.2682,7.5124,6.7588,7.855,0.5504,0.1331,-0.6265,0.5369,1.1606,-6.3433,-8.199,-5.8589,-4.3225,-5.9482,0.2891,0.2358,-1.8632,-0.0508,2.3552,-0.1184,2.7546,-1.0336,-2.5676,-0.8814,0.2713,0.0924,0.3222,0.3971,0.1811,53.33,91.0,30.0,3eck_L_L_1.csv,3eck,2,2,1,443.8
0.6563,-0.2365,0.5617,0.1721,0.0488,8.0846,9.4487,7.5627,6.8451,7.6905,0.6648,-0.0316,-0.5653,0.6676,1.3766,-6.2339,-8.2015,-5.8661,-4.3944,-5.9014,0.3343,0.4219,-1.7606,0.4903,2.5385,-0.1039,2.71,-1.0556,-2.4556,-0.9236,0.2793,0.1374,0.3183,0.2928,0.1944,53.33,91.0,30.0,3eck_L_L_2.csv,3eck,2,2,1,443.8
0.6607,0.697,0.4568,0.7785,-0.0871,8.0668,9.2283,7.5161,6.3358,7.5005,1.0883,0.1475,-0.5655,0.5674,1.1936,-6.2413,-8.1415,-5.7804,-4.1877,-5.7563,0.458,0.0715,-1.6537,0.5154,2.4732,-0.2879,2.6243,-1.1116,-2.5613,-0.9819,0.2814,0.2446,0.2651,0.2885,0.2325,53.33,91.0,30.0,3eck_L_L_3.csv,3eck,2,2,1,443.8
0.6666,0.889,0.4933,-0.0776,0.1744,8.384,9.4135,7.7923,7.0277,7.9325,0.6261,0.4474,-0.5953,0.5373,1.3581,-6.5111,-8.2554,-6.1093,-4.5842,-6.1166,0.4741,0.0766,-1.7509,0.3594,2.6676,-0.0214,2.8186,-0.8982,-2.3534,-0.7143,0.2647,0.2582,0.3689,0.2346,0.1269,53.33,91.0,30.0,3eck_L_L_4.csv,3eck,2,2,1,443.8
0.6082,-0.1445,0.585,0.6746,0.1624,8.1949,9.0667,7.387,6.7178,7.4511,1.1269,0.3862,-0.4118,0.769,1.3999,-6.2656,-7.8904,-5.7531,-4.1993,-5.6183,0.5594,0.5536,-1.544,0.6184,2.6257,-0.2373,2.562,-1.1127,-2.6998,-1.0899,0.2957,0.2532,0.2356,0.2316,0.2433,53.33,91.0,30.0,3eck_L_L_5.csv,3eck,2,2,1,443.8
0.6375,0.042,0.3539,-0.0656,0.1751,8.295,9.3958,7.7403,6.9712,7.6392,0.9479,0.6056,-0.6439,0.4573,1.4213,-6.3842,-8.1699,-5.9839,-4.3555,-5.8269,0.5513,0.5552,-1.6433,0.3765,2.696,-0.209,2.6787,-1.0342,-2.6068,-1.0244,0.2826,0.2335,0.3049,0.1903,0.1867,53.33,91.0,30.0,3eck_L_L_6.csv,3eck,2,2,1,443.8
